Fecha,variable,value
2020-03-06,Graves,0.0
2020-03-07,Graves,0.0
2020-03-08,Graves,0.0
2020-03-09,Graves,0.0
2020-03-10,Graves,0.0
2020-03-11,Graves,0.0
2020-03-12,Graves,0.0
2020-03-13,Graves,0.0
2020-03-14,Graves,0.0
2020-03-15,Graves,0.0
2020-03-16,Graves,0.0
2020-03-17,Graves,0.0
2020-03-18,Graves,0.0
2020-03-19,Graves,0.0
2020-03-20,Graves,0.0
2020-03-21,Graves,0.0
2020-03-22,Graves,0.0
2020-03-23,Graves,0.0
2020-03-24,Graves,0.0
2020-03-25,Graves,0.0
2020-03-26,Graves,4.425464120549643e-05
2020-03-27,Graves,4.425464120549643e-05
2020-03-28,Graves,4.425464120549643e-05
2020-03-29,Graves,4.425464120549643e-05
2020-03-30,Graves,4.425464120549643e-05
2020-03-31,Graves,4.425464120549643e-05
2020-04-01,Graves,6.638196180824463e-05
2020-04-02,Graves,6.638196180824463e-05
2020-04-03,Graves,6.638196180824463e-05
2020-04-04,Graves,0.00011063660301374106
2020-04-05,Graves,0.00011063660301374106
2020-04-06,Graves,0.00011063660301374106
2020-04-07,Graves,0.00011063660301374106
2020-04-08,Graves,0.00011063660301374106
2020-04-09,Graves,0.00013276392361648927
2020-04-10,Graves,0.0001548912442192375
2020-04-11,Graves,0.0001548912442192375
2020-04-12,Graves,0.0001548912442192375
2020-04-13,Graves,0.00011063660301374106
2020-04-14,Graves,0.0001548912442192375
2020-04-15,Graves,0.0001770185648219857
2020-04-16,Graves,0.0001770185648219857
2020-04-17,Graves,0.0001548912442192375
2020-04-18,Graves,0.00013276392361648927
2020-04-19,Graves,0.00013276392361648927
2020-04-20,Graves,8.850928241099285e-05
2020-04-21,Graves,0.00011063660301374106
2020-04-22,Graves,0.00011063660301374106
2020-04-23,Graves,0.00011063660301374106
2020-04-24,Graves,6.638196180824463e-05
2020-04-25,Graves,6.638196180824463e-05
2020-04-26,Graves,4.425464120549643e-05
2020-04-27,Graves,4.425464120549643e-05
2020-04-28,Graves,4.425464120549643e-05
2020-04-29,Graves,4.425464120549643e-05
2020-04-30,Graves,4.425464120549643e-05
2020-05-01,Graves,4.425464120549643e-05
2020-05-02,Graves,4.425464120549643e-05
2020-05-03,Graves,4.425464120549643e-05
2020-05-04,Graves,4.425464120549643e-05
2020-05-05,Graves,4.425464120549643e-05
2020-05-06,Graves,4.425464120549643e-05
2020-05-07,Graves,4.425464120549643e-05
2020-05-08,Graves,4.425464120549643e-05
2020-05-09,Graves,4.425464120549643e-05
2020-05-10,Graves,4.425464120549643e-05
2020-05-11,Graves,2.2127320602748214e-05
2020-05-12,Graves,2.2127320602748214e-05
2020-05-13,Graves,2.2127320602748214e-05
2020-05-14,Graves,2.2127320602748214e-05
2020-05-15,Graves,2.2127320602748214e-05
2020-05-16,Graves,2.2127320602748214e-05
2020-05-17,Graves,2.2127320602748214e-05
2020-05-18,Graves,2.2127320602748214e-05
2020-05-19,Graves,0.0
2020-05-20,Graves,0.0
2020-05-21,Graves,0.0
2020-05-22,Graves,0.0
2020-05-23,Graves,0.0
2020-05-24,Graves,0.0
2020-05-25,Graves,0.0
2020-05-26,Graves,0.0
2020-05-27,Graves,0.0
2020-05-28,Graves,0.0
2020-05-29,Graves,0.0
2020-05-30,Graves,0.0
2020-05-31,Graves,2.2127320602748214e-05
2020-06-01,Graves,2.2127320602748214e-05
2020-06-02,Graves,2.2127320602748214e-05
2020-06-03,Graves,4.425464120549643e-05
2020-06-04,Graves,4.425464120549643e-05
2020-06-05,Graves,4.425464120549643e-05
2020-06-06,Graves,4.425464120549643e-05
2020-06-07,Graves,4.425464120549643e-05
2020-06-08,Graves,4.425464120549643e-05
2020-06-09,Graves,4.425464120549643e-05
2020-06-10,Graves,4.425464120549643e-05
2020-06-11,Graves,4.425464120549643e-05
2020-06-12,Graves,4.425464120549643e-05
2020-06-13,Graves,4.425464120549643e-05
2020-06-14,Graves,4.425464120549643e-05
2020-06-15,Graves,4.425464120549643e-05
2020-06-16,Graves,4.425464120549643e-05
2020-06-17,Graves,4.425464120549643e-05
2020-06-18,Graves,4.425464120549643e-05
2020-06-19,Graves,4.425464120549643e-05
2020-06-20,Graves,4.425464120549643e-05
2020-06-21,Graves,4.425464120549643e-05
2020-06-22,Graves,4.425464120549643e-05
2020-06-23,Graves,2.2127320602748214e-05
2020-06-24,Graves,2.2127320602748214e-05
2020-06-25,Graves,0.0
2020-06-26,Graves,0.0
2020-06-27,Graves,2.2127320602748214e-05
2020-06-28,Graves,2.2127320602748214e-05
2020-06-29,Graves,4.425464120549643e-05
2020-06-30,Graves,6.638196180824463e-05
2020-07-01,Graves,6.638196180824463e-05
2020-07-02,Graves,6.638196180824463e-05
2020-07-03,Graves,6.638196180824463e-05
2020-07-04,Graves,4.425464120549643e-05
2020-07-05,Graves,2.2127320602748214e-05
2020-07-06,Graves,2.2127320602748214e-05
2020-07-07,Graves,2.2127320602748214e-05
2020-07-08,Graves,2.2127320602748214e-05
2020-07-09,Graves,2.2127320602748214e-05
2020-07-10,Graves,4.425464120549643e-05
2020-07-11,Graves,6.638196180824463e-05
2020-07-12,Graves,0.00011063660301374106
2020-07-13,Graves,0.00011063660301374106
2020-07-14,Graves,0.00011063660301374106
2020-07-15,Graves,0.00011063660301374106
2020-07-16,Graves,0.0001548912442192375
2020-07-17,Graves,0.0001548912442192375
2020-07-18,Graves,0.00019914588542473393
2020-07-19,Graves,0.00022127320602748212
2020-07-20,Graves,0.00024340052663023034
2020-07-21,Graves,0.00026552784723297854
2020-07-22,Graves,0.00026552784723297854
2020-07-23,Graves,0.00024340052663023034
2020-07-24,Graves,0.00028765516783572676
2020-07-25,Graves,0.000309782488438475
2020-07-26,Graves,0.000309782488438475
2020-07-27,Graves,0.000309782488438475
2020-07-28,Graves,0.0003319098090412232
2020-07-29,Graves,0.000309782488438475
2020-07-30,Graves,0.0003319098090412232
2020-07-31,Graves,0.0003319098090412232
2020-08-01,Graves,0.0003540371296439714
2020-08-02,Graves,0.00039829177084946786
2020-08-03,Graves,0.000420419091452216
2020-08-04,Graves,0.00039829177084946786
2020-08-05,Graves,0.000420419091452216
2020-08-06,Graves,0.0003540371296439714
2020-08-07,Graves,0.00044254641205496425
2020-08-08,Graves,0.00046467373265771247
2020-08-09,Graves,0.00061956497687695
2020-08-10,Graves,0.00061956497687695
2020-08-11,Graves,0.0006416922974796982
2020-08-12,Graves,0.0006638196180824464
2020-08-13,Graves,0.0007523289004934393
2020-08-14,Graves,0.000730201579890691
2020-08-15,Graves,0.0007744562210961874
2020-08-16,Graves,0.0008629655035071803
2020-08-17,Graves,0.0008629655035071803
2020-08-18,Graves,0.0009293474653154249
2020-08-19,Graves,0.0009736021065209214
2020-08-20,Graves,0.0009514747859181732
2020-08-21,Graves,0.0009736021065209214
2020-08-22,Graves,0.001039984068329166
2020-08-23,Graves,0.0009957294271236697
2020-08-24,Graves,0.0010178567477264178
2020-08-25,Graves,0.0011063660301374107
2020-08-26,Graves,0.0010621113889319142
2020-08-27,Graves,0.0011284933507401589
2020-08-28,Graves,0.0010621113889319142
2020-08-29,Graves,0.0010178567477264178
2020-08-30,Graves,0.001039984068329166
2020-08-31,Graves,0.0010621113889319142
2020-09-01,Graves,0.001039984068329166
2020-09-02,Graves,0.0009736021065209214
2020-09-03,Graves,0.0009072201447126768
2020-09-04,Graves,0.0009736021065209214
2020-09-05,Graves,0.0009514747859181732
2020-09-06,Graves,0.0009736021065209214
2020-09-07,Graves,0.0009293474653154249
2020-09-08,Graves,0.0009293474653154249
2020-09-09,Graves,0.0009072201447126768
2020-09-10,Graves,0.0009293474653154249
2020-09-11,Graves,0.0009072201447126768
2020-09-12,Graves,0.0009736021065209214
2020-09-13,Graves,0.001039984068329166
2020-09-14,Graves,0.0010842387095346625
2020-09-15,Graves,0.0011284933507401589
2020-09-16,Graves,0.001150620671342907
2020-09-17,Graves,0.001150620671342907
2020-09-18,Graves,0.0011284933507401589
2020-09-19,Graves,0.0010621113889319142
2020-09-20,Graves,0.0010842387095346625
2020-09-21,Graves,0.0009957294271236697
2020-03-06,Graves,0.0
2020-03-07,Graves,0.0
2020-03-08,Graves,0.0
2020-03-09,Graves,0.0
2020-03-10,Graves,0.0
2020-03-11,Graves,0.0
2020-03-12,Graves,0.0
2020-03-13,Graves,0.0
2020-03-14,Graves,0.0
2020-03-15,Graves,0.0
2020-03-16,Graves,0.0
2020-03-17,Graves,0.0
2020-03-18,Graves,0.0
2020-03-19,Graves,0.0
2020-03-20,Graves,0.0
2020-03-21,Graves,0.0
2020-03-22,Graves,0.0
2020-03-23,Graves,0.0
2020-03-24,Graves,0.0
2020-03-25,Graves,0.0
2020-03-26,Graves,0.0
2020-03-27,Graves,0.0
2020-03-28,Graves,2.2127320602748214e-05
2020-03-29,Graves,2.2127320602748214e-05
2020-03-30,Graves,2.2127320602748214e-05
2020-03-31,Graves,4.425464120549643e-05
2020-04-01,Graves,4.425464120549643e-05
2020-04-02,Graves,8.850928241099285e-05
2020-04-03,Graves,8.850928241099285e-05
2020-04-04,Graves,8.850928241099285e-05
2020-04-05,Graves,8.850928241099285e-05
2020-04-06,Graves,8.850928241099285e-05
2020-04-07,Graves,8.850928241099285e-05
2020-04-08,Graves,6.638196180824463e-05
2020-04-09,Graves,6.638196180824463e-05
2020-04-10,Graves,6.638196180824463e-05
2020-04-11,Graves,6.638196180824463e-05
2020-04-12,Graves,6.638196180824463e-05
2020-04-13,Graves,6.638196180824463e-05
2020-04-14,Graves,6.638196180824463e-05
2020-04-15,Graves,6.638196180824463e-05
2020-04-16,Graves,4.425464120549643e-05
2020-04-17,Graves,4.425464120549643e-05
2020-04-18,Graves,4.425464120549643e-05
2020-04-19,Graves,4.425464120549643e-05
2020-04-20,Graves,6.638196180824463e-05
2020-04-21,Graves,8.850928241099285e-05
2020-04-22,Graves,8.850928241099285e-05
2020-04-23,Graves,8.850928241099285e-05
2020-04-24,Graves,8.850928241099285e-05
2020-04-25,Graves,8.850928241099285e-05
2020-04-26,Graves,8.850928241099285e-05
2020-04-27,Graves,6.638196180824463e-05
2020-04-28,Graves,6.638196180824463e-05
