Fecha,variable,value,Localidad
2020-03-06,Graves,0.0,De la virgen y turistica
2020-03-07,Graves,0.0,De la virgen y turistica
2020-03-08,Graves,0.0,De la virgen y turistica
2020-03-09,Graves,0.0,De la virgen y turistica
2020-03-10,Graves,0.0,De la virgen y turistica
2020-03-11,Graves,0.0,De la virgen y turistica
2020-03-12,Graves,0.0,De la virgen y turistica
2020-03-13,Graves,0.0,De la virgen y turistica
2020-03-14,Graves,0.0,De la virgen y turistica
2020-03-15,Graves,0.0,De la virgen y turistica
2020-03-16,Graves,0.0,De la virgen y turistica
2020-03-17,Graves,0.0,De la virgen y turistica
2020-03-18,Graves,0.0,De la virgen y turistica
2020-03-19,Graves,0.0,De la virgen y turistica
2020-03-20,Graves,0.0,De la virgen y turistica
2020-03-21,Graves,0.0,De la virgen y turistica
2020-03-22,Graves,0.0,De la virgen y turistica
2020-03-23,Graves,0.0,De la virgen y turistica
2020-03-24,Graves,0.0,De la virgen y turistica
2020-03-25,Graves,0.0,De la virgen y turistica
2020-03-26,Graves,0.0,De la virgen y turistica
2020-03-27,Graves,0.0,De la virgen y turistica
2020-03-28,Graves,0.0,De la virgen y turistica
2020-03-29,Graves,0.0,De la virgen y turistica
2020-03-30,Graves,0.0,De la virgen y turistica
2020-03-31,Graves,0.0,De la virgen y turistica
2020-04-01,Graves,0.00012955045990413266,De la virgen y turistica
2020-04-02,Graves,0.0002591009198082653,De la virgen y turistica
2020-04-03,Graves,0.0002591009198082653,De la virgen y turistica
2020-04-04,Graves,0.0002591009198082653,De la virgen y turistica
2020-04-05,Graves,0.0002591009198082653,De la virgen y turistica
2020-04-06,Graves,0.0002591009198082653,De la virgen y turistica
2020-04-07,Graves,0.0002591009198082653,De la virgen y turistica
2020-04-08,Graves,0.0002591009198082653,De la virgen y turistica
2020-04-09,Graves,0.0005182018396165306,De la virgen y turistica
2020-04-10,Graves,0.000777302759424796,De la virgen y turistica
2020-04-11,Graves,0.0009068532193289286,De la virgen y turistica
2020-04-12,Graves,0.0010364036792330613,De la virgen y turistica
2020-04-13,Graves,0.001165954139137194,De la virgen y turistica
2020-04-14,Graves,0.0010364036792330613,De la virgen y turistica
2020-04-15,Graves,0.0010364036792330613,De la virgen y turistica
2020-04-16,Graves,0.0010364036792330613,De la virgen y turistica
2020-04-17,Graves,0.0010364036792330613,De la virgen y turistica
