Fecha,Localidad,R0
2020-06-21,De la virgen y turistica,0.4889234356781967
2020-06-22,De la virgen y turistica,0.49073714211685454
2020-06-23,De la virgen y turistica,0.4915144448762793
2020-06-24,De la virgen y turistica,0.4925508485555124
2020-06-25,De la virgen y turistica,0.4935872522347454
2020-06-26,De la virgen y turistica,0.49553050913330743
2020-06-27,De la virgen y turistica,0.4973442155719653
2020-06-28,De la virgen y turistica,0.49915792201062315
2020-06-29,De la virgen y turistica,0.5004534266096644
2020-06-30,De la virgen y turistica,0.5016193807488016
2020-07-01,De la virgen y turistica,0.5026557844280347
2020-07-02,De la virgen y turistica,0.5042103899468843
2020-07-03,De la virgen y turistica,0.505764995465734
2020-07-04,De la virgen y turistica,0.5071900505246794
2020-07-05,De la virgen y turistica,0.5088742065034331
2020-07-06,De la virgen y turistica,0.5106879129420909
2020-07-07,De la virgen y turistica,0.5110765643218034
2020-07-08,De la virgen y turistica,0.5121129680010365
2020-07-09,De la virgen y turistica,0.5132789221401736
2020-07-10,De la virgen y turistica,0.5140562248995983
2020-07-11,De la virgen y turistica,0.5145744267392149
2020-07-12,De la virgen y turistica,0.5161290322580645
2020-07-13,De la virgen y turistica,0.5176836377769141
2020-07-14,De la virgen y turistica,0.5183313900764348
2020-07-15,De la virgen y turistica,0.5187200414561471
2020-07-16,De la virgen y turistica,0.5193677937556679
2020-07-17,De la virgen y turistica,0.5198859955952844
2020-07-18,De la virgen y turistica,0.5207928488146133
2020-07-19,De la virgen y turistica,0.5220883534136547
2020-07-20,De la virgen y turistica,0.5227361057131753
2020-07-21,De la virgen y turistica,0.5228656561730795
2020-07-22,De la virgen y turistica,0.5232543075527918
2020-07-23,De la virgen y turistica,0.5241611607721207
2020-07-24,De la virgen y turistica,0.5251975644513538
2020-07-25,De la virgen y turistica,0.5257157662909704
2020-07-26,De la virgen y turistica,0.5258453167508744
2020-07-27,De la virgen y turistica,0.5267521699702034
2020-07-28,De la virgen y turistica,0.5270112708900117
2020-07-29,De la virgen y turistica,0.5276590231895323
2020-07-30,De la virgen y turistica,0.5281772250291489
2020-07-31,De la virgen y turistica,0.5286954268687654
2020-08-01,De la virgen y turistica,0.5294727296281901
2020-08-02,De la virgen y turistica,0.5302500323876149
