Fecha,variable,value,Localidad
2020-04-20,Fallecidos,0.00041017227235438887,San Cristóbal
2020-04-21,Fallecidos,0.00041017227235438887,San Cristóbal
2020-04-22,Fallecidos,0.00041017227235438887,San Cristóbal
2020-04-23,Fallecidos,0.00041017227235438887,San Cristóbal
2020-04-24,Fallecidos,0.00041017227235438887,San Cristóbal
2020-04-25,Fallecidos,0.00041017227235438887,San Cristóbal
2020-04-26,Fallecidos,0.00041017227235438887,San Cristóbal
2020-04-27,Fallecidos,0.00041017227235438887,San Cristóbal
2020-04-28,Fallecidos,0.00041017227235438887,San Cristóbal
2020-04-29,Fallecidos,0.00041017227235438887,San Cristóbal
2020-04-30,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-01,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-02,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-03,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-04,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-05,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-06,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-07,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-08,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-09,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-10,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-11,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-12,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-13,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-14,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-15,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-16,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-17,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-18,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-19,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-20,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-21,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-22,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-23,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-24,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-25,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-26,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-27,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-28,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-29,Fallecidos,0.00041017227235438887,San Cristóbal
2020-05-30,Fallecidos,0.00041017227235438887,San Cristóbal
