Fecha,variable,value
2020-05-31,Graves,419.0
2020-06-01,Graves,430.0
2020-06-02,Graves,441.0
2020-06-03,Graves,451.0
2020-06-04,Graves,462.0
2020-06-05,Graves,472.0
2020-06-06,Graves,481.0
2020-06-07,Graves,491.0
2020-06-08,Graves,500.0
2020-06-09,Graves,510.0
2020-06-10,Graves,519.0
2020-06-11,Graves,528.0
2020-06-12,Graves,537.0
2020-06-13,Graves,545.0
2020-06-14,Graves,554.0
2020-06-15,Graves,563.0
2020-06-16,Graves,572.0
2020-06-17,Graves,580.0
2020-06-18,Graves,589.0
2020-06-19,Graves,598.0
2020-06-20,Graves,607.0
2020-06-21,Graves,615.0
2020-06-22,Graves,624.0
2020-06-23,Graves,633.0
2020-06-24,Graves,642.0
2020-06-25,Graves,651.0
2020-06-26,Graves,660.0
2020-06-27,Graves,669.0
2020-03-14,Críticos,0.0
2020-03-15,Críticos,0.0
2020-03-16,Críticos,0.0
2020-03-17,Críticos,0.0
2020-03-18,Críticos,0.0
2020-03-19,Críticos,0.0
2020-03-20,Críticos,0.0
2020-03-21,Críticos,0.0
2020-03-22,Críticos,0.0
2020-03-23,Críticos,0.0
2020-03-24,Críticos,0.0
2020-03-25,Críticos,0.0
2020-03-26,Críticos,1.0
2020-03-27,Críticos,1.0
2020-03-28,Críticos,1.0
2020-03-29,Críticos,2.0
2020-03-30,Críticos,3.0
2020-03-31,Críticos,5.0
2020-04-01,Críticos,8.0
2020-04-02,Críticos,11.0
2020-04-03,Críticos,16.0
2020-04-04,Críticos,22.0
2020-04-05,Críticos,29.0
2020-04-06,Críticos,36.0
2020-04-07,Críticos,44.0
2020-04-08,Críticos,52.0
2020-04-09,Críticos,60.0
2020-04-10,Críticos,67.0
2020-04-11,Críticos,75.0
2020-04-12,Críticos,82.0
2020-04-13,Críticos,88.0
2020-04-14,Críticos,94.0
2020-04-15,Críticos,99.0
2020-04-16,Críticos,103.0
2020-04-17,Críticos,107.0
2020-04-18,Críticos,110.0
2020-04-19,Críticos,112.0
2020-04-20,Críticos,114.0
2020-04-21,Críticos,115.0
2020-04-22,Críticos,115.0
2020-04-23,Críticos,115.0
2020-04-24,Críticos,114.0
2020-04-25,Críticos,113.0
2020-04-26,Críticos,112.0
2020-04-27,Críticos,110.0
2020-04-28,Críticos,108.0
2020-04-29,Críticos,106.0
2020-04-30,Críticos,103.0
2020-05-01,Críticos,101.0
2020-05-02,Críticos,98.0
2020-05-03,Críticos,95.0
2020-05-04,Críticos,92.0
2020-05-05,Críticos,89.0
2020-05-06,Críticos,87.0
2020-05-07,Críticos,84.0
2020-05-08,Críticos,81.0
2020-05-09,Críticos,79.0
2020-05-10,Críticos,77.0
2020-05-11,Críticos,76.0
2020-05-12,Críticos,75.0
2020-05-13,Críticos,74.0
2020-05-14,Críticos,74.0
2020-05-15,Críticos,74.0
2020-05-16,Críticos,75.0
2020-05-17,Críticos,77.0
2020-05-18,Críticos,79.0
2020-05-19,Críticos,82.0
2020-05-20,Críticos,86.0
2020-05-21,Críticos,90.0
2020-05-22,Críticos,94.0
2020-05-23,Críticos,99.0
2020-05-24,Críticos,104.0
2020-05-25,Críticos,109.0
2020-05-26,Críticos,114.0
2020-05-27,Críticos,120.0
2020-05-28,Críticos,126.0
2020-05-29,Críticos,131.0
2020-05-30,Críticos,137.0
2020-05-31,Críticos,143.0
2020-06-01,Críticos,148.0
2020-06-02,Críticos,154.0
2020-06-03,Críticos,159.0
2020-06-04,Críticos,165.0
2020-06-05,Críticos,170.0
2020-06-06,Críticos,176.0
2020-06-07,Críticos,181.0
2020-06-08,Críticos,186.0
2020-06-09,Críticos,191.0
2020-06-10,Críticos,197.0
2020-06-11,Críticos,202.0
2020-06-12,Críticos,206.0
2020-06-13,Críticos,211.0
2020-06-14,Críticos,216.0
2020-06-15,Críticos,221.0
2020-06-16,Críticos,226.0
2020-06-17,Críticos,230.0
2020-06-18,Críticos,235.0
2020-06-19,Críticos,239.0
2020-06-20,Críticos,244.0
2020-06-21,Críticos,248.0
2020-06-22,Críticos,253.0
2020-06-23,Críticos,257.0
2020-06-24,Críticos,262.0
2020-06-25,Críticos,266.0
2020-06-26,Críticos,270.0
2020-06-27,Críticos,275.0
2020-03-14,Fallecidos,0.0
2020-03-15,Fallecidos,0.0
2020-03-16,Fallecidos,0.0
2020-03-17,Fallecidos,0.0
2020-03-18,Fallecidos,0.0
2020-03-19,Fallecidos,0.0
2020-03-20,Fallecidos,0.0
2020-03-21,Fallecidos,0.0
2020-03-22,Fallecidos,0.0
2020-03-23,Fallecidos,0.0
2020-03-24,Fallecidos,0.0
2020-03-25,Fallecidos,0.0
2020-03-26,Fallecidos,0.0
2020-03-27,Fallecidos,0.0
2020-03-28,Fallecidos,0.0
2020-03-29,Fallecidos,0.0
2020-03-30,Fallecidos,0.0
2020-03-31,Fallecidos,1.0
2020-04-01,Fallecidos,1.0
2020-04-02,Fallecidos,1.0
2020-04-03,Fallecidos,2.0
2020-04-04,Fallecidos,3.0
2020-04-05,Fallecidos,4.0
2020-04-06,Fallecidos,6.0
2020-04-07,Fallecidos,8.0
2020-04-08,Fallecidos,10.0
2020-04-09,Fallecidos,13.0
2020-04-10,Fallecidos,16.0
2020-04-11,Fallecidos,20.0
2020-04-12,Fallecidos,24.0
2020-04-13,Fallecidos,28.0
2020-04-14,Fallecidos,32.0
2020-04-15,Fallecidos,37.0
2020-04-16,Fallecidos,42.0
2020-04-17,Fallecidos,48.0
2020-04-18,Fallecidos,53.0
2020-04-19,Fallecidos,59.0
2020-04-20,Fallecidos,64.0
2020-04-21,Fallecidos,70.0
2020-04-22,Fallecidos,76.0
2020-04-23,Fallecidos,81.0
