exp,Fecha,R0,Rt,Cuarentena
0,2020-03-06,0.0,0.0,0.0
0,2020-03-07,0.00040403496249208766,0.43609022556390975,0.0
0,2020-03-08,0.0013198475441408197,0.6305418719211823,0.0
0,2020-03-09,0.0021009818049588557,0.7211895910780669,0.0
0,2020-03-10,0.0031245370432721447,0.7720364741641338,0.0
0,2020-03-11,0.0037709929832594846,0.8062015503875969,0.0
0,2020-03-12,0.004727209061157425,0.6659242761692651,0.0
0,2020-03-13,0.0058450391240522015,0.5414258188824663,0.0
0,2020-03-14,0.006841658698199351,0.4736842105263158,0.0
0,2020-03-15,0.007730535615681944,0.5023622047244094,0.0
0,2020-03-16,0.008592476868998397,0.4005891016200295,1.3467832083069588e-05
0,2020-03-17,0.010451037696462,0.5300230946882217,0.0
0,2020-03-18,0.011878627897267378,0.5527472527472528,0.7769996363685338
0,2020-03-19,0.01243080901267323,0.5747126436781609,0.7870331712704206
0,2020-03-20,0.013225411105574335,0.5950248756218905,0.7732421112173573
0,2020-03-21,0.013912270541810885,0.5634615384615385,0.7809591790009562
0,2020-03-22,0.014504855153465947,0.447,0.811504222165358
0,2020-03-23,0.01533986074261626,0.4225216554379211,0.7593298406755464
0,2020-03-24,0.016525029965926384,0.37678401522359656,0.7622388924054895
0,2020-03-25,0.01768326352507037,0.3659889094269871,0.7629392196738091
0,2020-03-26,0.01866641526713445,0.362962962962963,0.7748178475710765
0,2020-03-27,0.01963609917711546,0.3570110701107011,0.7627506700246461
0,2020-03-28,0.02092901105709014,0.37385740402193773,0.7803800622213842
0,2020-03-29,0.0218313558066558,0.3761467889908257,0.8023460963488708
0,2020-03-30,0.022989589365799788,0.4001774622892635,0.7641782602254515
0,2020-03-31,0.024349840406189815,0.4190045248868777,0.7571345840460061
0,2020-04-01,0.02587170543157668,0.4369449378330373,0.7537676260252387
0,2020-04-02,0.0275013131136281,0.44954128440366975,0.7931475670361342
0,2020-04-03,0.028646078840689013,0.42048293089092426,0.8154772326298636
0,2020-04-04,0.02984471589608221,0.4299439551641313,0.777632624476438
0,2020-04-05,0.0310433529514754,0.4294573643410853,0.8077736326783478
0,2020-04-06,0.0324170718239485,0.41063515509601184,0.7740367133102585
0,2020-04-07,0.03418135782683061,0.4086709310589908,0.7732825147136065
0,2020-04-08,0.03633621096012175,0.407557354925776,0.7609325126934318
0,2020-04-09,0.03882775989548962,0.4311526479750779,0.756339981953105
0,2020-04-10,0.04092874170044848,0.422275163787969,0.7506700246461327
0,2020-04-11,0.04305665916957347,0.4380733944954128,0.7605015420667736
0,2020-04-12,0.04478054167620638,0.4534818941504178,0.7972283201573043
0,2020-04-13,0.04694886264158059,0.4392177589852008,0.7525285854735964
0,2020-04-14,0.049548154233613015,0.4305204648812532,0.752259228831935
0,2020-04-15,0.05210704232939624,0.4214285714285714,0.7476666980916082
0,2020-04-16,0.05516424021225303,0.4192080109239872,0.748003393893685
0,2020-04-17,0.058396519912189734,0.42533162173726996,0.7421314191054665
0,2020-04-18,0.06144024996296346,0.4323232323232323,0.7398688233155108
0,2020-04-19,0.06397220239458054,0.4326103795507359,0.7829928216454998
0,2020-04-20,0.06751424223242784,0.4479054779806659,0.7261046989266138
0,2020-04-21,0.07203943381233922,0.4473684210526316,0.7267107513703519
0,2020-04-22,0.07706293517932418,0.4413685847589425,0.7211350688879611
0,2020-04-23,0.08201909738589379,0.4423467905896021,0.7177950465313598
0,2020-04-24,0.08636920714872527,0.4230552423900789,0.7508316386311296
0,2020-04-25,0.09012673229990169,0.4122137404580153,0.7416869806467253
0,2020-04-26,0.09366877213774899,0.4064567345858693,0.7821578160563494
0,2020-04-27,0.09835557770265721,0.43503649635036495,0.7138220360668543
0,2020-04-28,0.1053049790575211,0.4453266787658802,0.7165694738118005
0,2020-04-29,0.11211970209155432,0.447418335089568,0.7201115136496478
0,2020-04-30,0.11820716219310178,0.4401787527930124,0.7397745484909294
0,2020-05-01,0.12413300830965239,0.42540361797315696,0.7243134772595655
0,2020-05-02,0.12929118799746805,0.40688995215310997,0.7921778831261532
0,2020-05-03,0.13300830965239524,0.39535323007177936,0.8129991515265788
0,2020-05-04,0.1387456061197829,0.4140845070422535,0.7152092227714105
0,2020-05-05,0.147863328440021,0.4148406374501992,0.7146301059918385
0,2020-05-06,0.15657701579776703,0.4087440381558029,0.715882614375564
0,2020-05-07,0.16510215350635007,0.397088122605364,0.7184145668071811
0,2020-05-08,0.17310204576369342,0.4057695123737004,0.7000848473421233
0,2020-05-09,0.1816137156401934,0.4135222331322766,0.7175795612180307
0,2020-05-10,0.18805133937590066,0.4152438191503893,0.7608382378688503
0,2020-05-11,0.1964552665957361,0.4231660231660232,0.6944283578672341
0,2020-05-12,0.2069467077884473,0.4108276291225887,0.6850951502336668
0,2020-05-13,0.21707451751491563,0.39613937113026587,0.6952094921280522
0,2020-05-14,0.22697337409597176,0.3915430440369116,0.6917751949468695
0,2020-05-15,0.2374917509528491,0.3910835214446953,0.6868998397327982
0,2020-05-16,0.2468384264184994,0.3899901434673092,0.7062935179324185
0,2020-05-17,0.2547305760191782,0.38931052912880815,0.7503602645082221
0,2020-05-18,0.26120860325113465,0.3819928224614735,0.749552194583238
0,2020-05-19,0.2707707640301141,0.3802540534958174,0.6805026194933401
0,2020-05-20,0.28216454997239093,0.3662702043305886,0.6875597635048686
0,2020-05-21,0.29260211983676987,0.3571213489912677,0.6891354998585878
0,2020-05-22,0.3025144442499091,0.3607061390459189,0.6855665243565743
0,2020-05-23,0.3118611197155594,0.3455481826285035,0.6931219781551764
