replicate,time,obs
2,111,755.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,1.0
3,21,4.0
3,22,2.0
3,23,1.0
3,24,5.0
3,25,6.0
3,26,8.0
3,27,7.0
3,28,8.0
3,29,14.0
3,30,21.0
3,31,30.0
3,32,25.0
3,33,47.0
3,34,29.0
3,35,43.0
3,36,41.0
3,37,56.0
3,38,59.0
3,39,66.0
3,40,70.0
3,41,73.0
3,42,75.0
3,43,71.0
3,44,97.0
3,45,90.0
3,46,94.0
3,47,96.0
3,48,109.0
3,49,116.0
3,50,124.0
3,51,144.0
3,52,126.0
3,53,140.0
3,54,148.0
3,55,140.0
3,56,156.0
3,57,157.0
3,58,164.0
3,59,163.0
3,60,173.0
3,61,172.0
3,62,168.0
3,63,175.0
3,64,182.0
3,65,181.0
3,66,207.0
3,67,215.0
3,68,220.0
3,69,205.0
3,70,206.0
3,71,230.0
3,72,221.0
3,73,196.0
3,74,222.0
3,75,256.0
3,76,235.0
3,77,219.0
3,78,237.0
3,79,253.0
3,80,261.0
3,81,238.0
3,82,224.0
3,83,279.0
3,84,277.0
3,85,275.0
3,86,305.0
3,87,298.0
3,88,314.0
3,89,316.0
3,90,336.0
3,91,358.0
3,92,368.0
3,93,366.0
3,94,407.0
3,95,420.0
3,96,474.0
3,97,442.0
3,98,438.0
3,99,491.0
3,100,464.0
3,101,518.0
3,102,531.0
3,103,552.0
3,104,553.0
3,105,572.0
3,106,613.0
3,107,611.0
3,108,670.0
3,109,698.0
3,110,728.0
3,111,778.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,1.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,1.0
4,19,1.0
4,20,0.0
4,21,1.0
4,22,8.0
4,23,8.0
4,24,2.0
4,25,7.0
4,26,5.0
4,27,11.0
4,28,11.0
4,29,20.0
4,30,28.0
4,31,27.0
4,32,27.0
4,33,27.0
4,34,40.0
4,35,49.0
4,36,57.0
4,37,53.0
4,38,55.0
4,39,64.0
4,40,54.0
4,41,55.0
4,42,85.0
4,43,90.0
4,44,89.0
4,45,94.0
4,46,101.0
4,47,123.0
4,48,105.0
4,49,109.0
4,50,134.0
4,51,113.0
4,52,142.0
4,53,116.0
4,54,151.0
4,55,144.0
4,56,164.0
4,57,141.0
4,58,177.0
4,59,188.0
4,60,165.0
4,61,174.0
4,62,163.0
4,63,202.0
4,64,168.0
4,65,165.0
4,66,165.0
4,67,210.0
4,68,201.0
4,69,194.0
4,70,207.0
4,71,216.0
4,72,223.0
4,73,202.0
4,74,241.0
4,75,228.0
4,76,253.0
4,77,243.0
4,78,268.0
4,79,257.0
4,80,254.0
4,81,232.0
4,82,282.0
4,83,250.0
4,84,253.0
4,85,312.0
4,86,320.0
4,87,339.0
4,88,336.0
4,89,314.0
4,90,340.0
4,91,337.0
4,92,367.0
4,93,376.0
4,94,381.0
4,95,373.0
4,96,401.0
4,97,458.0
4,98,477.0
4,99,449.0
4,100,470.0
4,101,527.0
4,102,504.0
4,103,548.0
4,104,537.0
4,105,585.0
4,106,652.0
4,107,645.0
4,108,589.0
4,109,652.0
4,110,744.0
4,111,752.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
