Fecha,variable,value,Grupo de edad
2020-03-31,Críticos,0.0,10-19
2020-04-01,Críticos,0.0,10-19
2020-04-02,Críticos,0.0,10-19
2020-04-03,Críticos,0.0,10-19
2020-04-04,Críticos,0.0,10-19
2020-04-05,Críticos,0.0,10-19
2020-04-06,Críticos,0.0,10-19
2020-04-07,Críticos,0.0,10-19
2020-04-08,Críticos,0.0,10-19
2020-04-09,Críticos,0.0,10-19
2020-04-10,Críticos,0.0,10-19
2020-04-11,Críticos,0.0,10-19
2020-04-12,Críticos,0.0,10-19
2020-04-13,Críticos,0.0,10-19
2020-04-14,Críticos,0.0,10-19
2020-04-15,Críticos,0.0,10-19
2020-04-16,Críticos,0.0,10-19
2020-04-17,Críticos,0.0,10-19
2020-04-18,Críticos,0.0,10-19
2020-04-19,Críticos,0.0,10-19
2020-04-20,Críticos,0.0,10-19
2020-04-21,Críticos,0.0,10-19
2020-04-22,Críticos,0.0,10-19
2020-04-23,Críticos,0.0,10-19
2020-04-24,Críticos,0.0,10-19
2020-04-25,Críticos,0.0,10-19
2020-04-26,Críticos,0.0,10-19
2020-04-27,Críticos,0.0,10-19
2020-04-28,Críticos,0.0,10-19
2020-04-29,Críticos,0.0,10-19
2020-04-30,Críticos,0.0,10-19
2020-05-01,Críticos,0.0,10-19
