exp,Fecha,R0,Rt,Cuarentena
15,2020-03-08,0.001553844075124983,0.71875,0.0
15,2020-03-09,0.0024996622078097552,0.7804878048780488,0.0
15,2020-03-10,0.0034229608611448903,0.8252427184466019,0.0
15,2020-03-11,0.004121064720983651,0.8468085106382979,0.0
15,2020-03-12,0.005382155564563347,0.7006802721088435,0.0
15,2020-03-13,0.0068459217222897805,0.6166666666666667,0.0
15,2020-03-14,0.008422285276764401,0.6183035714285714,0.0
15,2020-03-15,0.010854389046525244,0.6326164874551972,0.0
15,2020-03-16,0.01396207719677521,0.5720588235294117,0.0
15,2020-03-17,0.017159843264423727,0.6455542021924482,0.0
15,2020-03-18,0.020312570373372967,0.7081243731193579,0.0
15,2020-03-19,0.024366076656307706,0.7517064846416383,0.0
15,2020-03-20,0.027113453136963474,0.7657004830917874,0.0
15,2020-03-21,0.028847453046885557,0.6741660201706751,0.0
15,2020-03-22,0.030626491915506912,0.5910112359550562,0.0
15,2020-03-23,0.0342296086114489,0.5458141067897165,0.0
15,2020-03-24,0.03751745259649597,0.4820512820512821,0.766585596541008
15,2020-03-25,0.03929649146511733,0.44228356336260977,0.7663153627888123
15,2020-03-26,0.0407827771021934,0.3981424148606811,0.7623068954645769
15,2020-03-27,0.042764491284961494,0.3569230769230769,0.7624645318200243
15,2020-03-28,0.044475971715533934,0.3485124468731026,0.7890600369319462
15,2020-03-29,0.046682880691798406,0.3262325015216068,0.7620817006710805
15,2020-03-30,0.048979867585461426,0.3145859085290482,0.7569697788587127
15,2020-03-31,0.05105165968562807,0.28917197452229304,0.7618339863982345
15,2020-04-01,0.053573841372787465,0.2958850424559112,0.7617664279601856
15,2020-04-02,0.055915867225149754,0.2897959183673469,0.754537675088952
15,2020-04-03,0.0585281268297077,0.3150684931506849,0.7587488177273342
15,2020-04-04,0.06059991892987434,0.32005494505494503,0.781921361978111
15,2020-04-05,0.062919425302887,0.3665128543177323,0.7315452866729721
15,2020-04-06,0.0658694770976895,0.3711409395973154,0.7382335720398144
15,2020-04-07,0.06888708733054091,0.3607552258934592,0.7365446110885916
15,2020-04-08,0.07172454172859523,0.36514247846255804,0.7727559338828086
15,2020-04-09,0.0741116065396568,0.37540453074433655,0.7881142187992614
15,2020-04-10,0.076273476557222,0.3725992317541613,0.7740620636850876
15,2020-04-11,0.07807503490519299,0.3628773281952473,0.7940818808269153
15,2020-04-12,0.08070981398910057,0.35804020100502515,0.7656622978876728
15,2020-04-13,0.08350222942845562,0.35948116121062385,0.7599198306535153
15,2020-04-14,0.08627212538846102,0.370125974805039,0.7455974417871459
15,2020-04-15,0.08944737197675989,0.3628266033254157,0.7550781425933433
15,2020-04-16,0.09241994325091205,0.36863662960795773,0.7481196234743053
