time,obs_mean,obs_ci,date,obs_lower,obs_upper
52,1.0,0.6789639165669998,2020-05-04,0.32103608343300016,1.6789639165669998
53,1.1,0.5148498810332968,2020-05-05,0.5851501189667033,1.614849881033297
54,1.1,0.9379373113380232,2020-05-06,0.16206268866197693,2.0379373113380232
55,1.9,1.0165581144233713,2020-05-07,0.8834418855766286,2.9165581144233714
56,1.3,0.6228977444171715,2020-05-08,0.6771022555828285,1.9228977444171715
57,1.0,0.7839999999999999,2020-05-09,0.21600000000000008,1.7839999999999998
58,1.0,0.5543717164502532,2020-05-10,0.4456282835497468,1.554371716450253
59,1.2,0.5403347110819365,2020-05-11,0.6596652889180634,1.7403347110819365
60,1.3,0.6817870635323026,2020-05-12,0.6182129364676975,1.9817870635323027
61,2.5,1.2473363620130697,2020-05-13,1.2526636379869303,3.74733636201307
62,1.6,0.6901872209770331,2020-05-14,0.909812779022967,2.290187220977033
63,2.1,0.5847242084949108,2020-05-15,1.5152757915050894,2.684724208494911
64,2.2,0.9521646916369038,2020-05-16,1.2478353083630964,3.152164691636904
65,2.0,0.6198064213930023,2020-05-17,1.3801935786069977,2.6198064213930023
66,1.7,0.7359793475363285,2020-05-18,0.9640206524636714,2.4359793475363283
67,2.1,0.7565701553722562,2020-05-19,1.3434298446277437,2.8565701553722564
68,2.1,1.0165581144233713,2020-05-20,1.0834418855766288,3.1165581144233716
69,2.6,0.8852606395858791,2020-05-21,1.714739360414121,3.485260639585879
70,3.0,1.3293366766925525,2020-05-22,1.6706633233074475,4.329336676692552
71,3.4,1.007066234167346,2020-05-23,2.392933765832654,4.407066234167345
72,3.3,0.6817870635323026,2020-05-24,2.6182129364676974,3.9817870635323023
73,2.8,0.667551945544315,2020-05-25,2.132448054455685,3.4675519455443147
74,3.3,1.0013279183164723,2020-05-26,2.2986720816835273,4.301327918316472
75,2.7,0.8787272614412276,2020-05-27,1.8212727385587726,3.5787272614412275
76,3.7,1.5935173673355432,2020-05-28,2.106482632664457,5.293517367335543
77,4.2,0.9521646916369038,2020-05-29,3.247835308363096,5.152164691636904
78,3.2,1.3522579635557705,2020-05-30,1.8477420364442296,4.552257963555771
79,3.8,0.8222661369653989,2020-05-31,2.977733863034601,4.622266136965399
80,4.4,0.9681685803619119,2020-06-01,3.4318314196380886,5.368168580361912
81,4.8,1.4875354113432055,2020-06-02,3.3124645886567943,6.287535411343205
82,5.6,1.2145675773706457,2020-06-03,4.3854324226293535,6.814567577370646
83,4.9,1.3133462605116746,2020-06-04,3.5866537394883258,6.213346260511675
84,5.9,1.673477337761106,2020-06-05,4.226522662238894,7.573477337761107
85,6.2,1.3235443324649159,2020-06-06,4.876455667535084,7.523544332464916
86,5.6,1.2145675773706457,2020-06-07,4.3854324226293535,6.814567577370646
87,5.7,1.038984889206768,2020-06-08,4.661015110793232,6.738984889206768
88,6.7,1.5194741195558417,2020-06-09,5.180525880444159,8.219474119555843
89,7.6,1.9639160878204545,2020-06-10,5.636083912179545,9.563916087820454
90,7.5,1.277763671419719,2020-06-11,6.222236328580281,8.777763671419718
91,7.2,1.3522579635557705,2020-06-12,5.847742036444229,8.552257963555771
92,10.7,1.8186856792750086,2020-06-13,8.881314320724991,12.518685679275007
93,10.4,1.1495696586114301,2020-06-14,9.25043034138857,11.54956965861143
94,9.0,0.9193214889253921,2020-06-15,8.080678511074607,9.919321488925393
95,10.4,1.0445163474067793,2020-06-16,9.355483652593222,11.444516347406779
96,11.9,2.547246042297445,2020-06-17,9.352753957702555,14.447246042297445
97,12.6,2.588387606213567,2020-06-18,10.011612393786432,15.188387606213567
98,11.7,1.2098138699816596,2020-06-19,10.49018613001834,12.909813869981658
99,12.5,2.4985195616604643,2020-06-20,10.001480438339536,14.998519561660464
100,14.0,1.7963696724226892,2020-06-21,12.203630327577311,15.796369672422689
101,13.3,1.901301028243555,2020-06-22,11.398698971756446,15.201301028243556
102,15.6,2.975070822686411,2020-06-23,12.62492917731359,18.57507082268641
103,17.7,1.9997763874993622,2020-06-24,15.700223612500636,19.699776387499362
104,17.7,2.111894315537593,2020-06-25,15.588105684462406,19.811894315537593
105,21.2,3.633144313126028,2020-06-26,17.56685568687397,24.833144313126027
106,21.9,2.577232313936794,2020-06-27,19.322767686063205,24.477232313936792
107,24.5,2.544227977206445,2020-06-28,21.955772022793553,27.044227977206447
