replicate,time,S,E,A,I1,I2,I3,R,D,obs
1,0,2533424,0,0,2,0,0,0,0,0
1,1,2533421.860307879,1.9387258049655727,0.033416227593869745,1.8970293643177552,-0.01354513892795347,-3.245915349738365e-4,0.1925940455205086,-5.565107977836326e-6,NA
1,2,2533419.5333098182,3.7024254315420295,0.12133141609142917,2.086387798485531,-0.023925717690609975,-0.0011579524411521758,0.39516700138642924,-4.091862035555415e-5,NA
1,3,2533416.609390381,5.6933777512454355,0.2579704551991564,2.5362557274017887,-0.031455949954511744,-0.002315652981456931,0.6400601552133456,-1.2674894635554806e-4,NA
1,4,2533412.6779116467,8.2432503779894,0.4499369041767595,3.274041393607261,-0.03638973580217562,-0.003643807164756164,0.9596170459421076,-2.753113250899367e-4,NA
1,5,2533407.245613967,11.699599831828237,0.7138311163570218,4.375020370837968,-0.03888908084083432,-0.005012663159147923,1.392504295544323,-4.917984348109776e-4,NA
1,6,2533399.6620706907,16.490587851868156,1.0765673010898913,5.963771515365619,-0.03899813667349637,-0.006309542380908163,1.9894884748147552,-7.753726454747867e-4,NA
1,7,2533389.0352808363,23.18713115182798,1.5776695199222899,8.224996964772247,-0.0366139590695041,-0.00743122634685285,2.819976911668128,-0.0011198320036844233,NA
1,8,2533374.1234013853,32.5756118387,2.273434525599141,11.423194018489959,-0.03144728794157812,-0.008275536238996236,3.9804054784147422,-0.001513876809106556,NA
1,9,2533353.18799041,45.75255347617561,3.243247451430055,15.932532898292266,-0.022966878220982288,-0.008731585392280477,5.605605857359213,-0.0019409252974864845,NA
1,10,2533323.790491065,64.2538663355141,4.598693276819618,22.279985481511115,-0.010319630018392851,-0.008667909887510018,7.884567336931177,-0.0023783920594985164,NA
1,11,2533282.507884221,90.23437550381304,6.496466526845,31.206453496865585,0.007783537415911078,-0.007917366959974328,11.0824584148307,-0.0027962982729569067,NA
1,12,2533224.5340576577,126.71895294716894,9.15656175445711,43.75291927775088,0.033229988999304544,-0.0062572477656910085,15.57150160281973,-0.0031550142246323572,NA
1,13,2533143.120355423,177.9546662576194,12.887849774168485,61.3815910211578,0.06873522376310981,-0.003382452214840443,21.874311663016588,-0.003401843587970617,NA
1,14,2533028.7910449724,249.9044112274713,18.123971166456993,86.14593042960398,0.11816705263491886,0.0011312322180107438,30.724687530144962,-0.0034660371702444404,NA
1,15,2532868.241613343,350.9399302726541,25.473760999218822,120.9295263539023,0.1870025614409456,0.007877963753520543,43.15301808922039,-0.0032516334986828223,NA
1,16,2532642.793810591,492.8133992409052,35.79198573624674,169.78120199608847,0.2829706227610755,0.017692563252860272,60.606124225705685,-0.0026272931336515782,NA
1,17,2532326.2286511757,692.0197511228903,50.27860139751447,238.3852466649355,0.41695499119305,0.031749299344016026,85.11550156614362,-0.0014119335734421785,NA
1,18,2531881.7504089014,971.70389945043,70.617961585075,334.7209160619355,0.6042626404625575,0.05170015093701682,119.53344251509472,6.455069656270742e-4,0
1,19,2531877.794784804,799.1632644053884,90.03201541771756,426.6760087618606,0.85480223656157,0.0797327073021391,166.12079606708494,0.003893161282317989,0
1,20,2531873.0862722015,658.5757483589136,101.84753256171061,482.6349836936196,1.1415140573541305,0.11740821620682862,221.58717816188698,0.008780401635531447,0
1,21,2531867.946263167,543.8593252931672,107.99179989110674,511.7282056850148,1.4367132012733055,0.16477281664851554,282.1514129680023,0.015796021659800576,0
1,22,2531862.613255923,450.1093327137222,109.96274973571192,521.0519742707053,1.721435342129191,0.22082367032169795,345.0080556124928,0.02540276129086797,0
1,23,2531857.2613161076,373.36827833152404,108.91942623886902,516.0971114216793,1.9832647071637894,0.28395220233483337,408.1085136675461,0.03799649619550099,0
1,24,2531852.0147742056,310.44089711881117,105.75387159794663,501.08952482305136,2.2146503828824313,0.35225802084121277,469.98852856413276,0.05388427474186166,0
1,25,2531846.9597842917,258.7456520712005,101.1481927503182,479.26056265510584,2.4116069878494084,0.42376550399806695,529.6324822991063,0.07327556917365842,0
1,26,2531842.1534204623,216.19516207812296,95.61994282216774,453.06200893991286,2.57271362093963,0.4965689449484119,586.3665975309264,0.09628230998108993,0
1,27,2531837.630787512,181.10021892365907,89.55803328996623,424.3362176737273,2.6983508701353838,0.5689237041268667,639.7754411650324,0.12292485754968513,0
1,28,2531833.4105676017,152.09264567971064,83.25114224952105,394.4506969393246,2.7901228372184588,0.6392983783179755,689.6367835952285,0.15314154228277474,0
1,29,2531829.4993405337,128.06317384698588,76.9101959680466,364.4046149722257,2.8504219488012366,0.7063996234943812,735.8708526563129,0.1868000036931541,0
1,30,2531825.8949230886,108.11151862189092,70.68607770526116,334.9126952590476,2.8821062990718365,0.7691773064166545,778.5011019283232,0.22370931443429,1
1,31,2531822.588943989,91.50616118194937,64.6835823819783,306.47132624488967,2.8882628425961547,0.8268167840921707,817.6239520833599,0.2636319777729126,0
1,32,2531819.568813096,77.65198206888334,58.97236850836379,279.41044550468047,2.872037241088374,0.8787227162353922,853.3856441987543,0.3062953265326407,0
1,33,2531816.8192172684,66.06418454280097,53.595536881910746,253.93418071404864,2.8365144397801783,0.9244979374307132,885.9646505911647,0.35140197664987854,0
1,34,2531814.323244632,56.34729246803569,48.57632238341474,230.15255142183307,2.7846379125488765,0.9639198405576104,915.5584493167439,0.3986391523784337,0
1,35,2531812.063222069,48.17819461197203,43.92330694906486,208.1061649103704,2.7191576667412853,0.9969160904653148,942.3736667470031,0.44768680369611674,1
1,36,2531810.0213278783,41.292470419769245,39.63445417088751,187.78532954578222,2.6425999113182157,1.0235407990767147,966.6188611715754,0.4982245192789176,0
