"","replicate","time","S","E","A","I1","I2","I3","R","D","obs"
"1","1",0,1274250,0,0,2,0,0,0,0,0
"2","1",1,1274248.69239531,1.18414156591894,0.0454820700819003,1.81101008991057,-0.0131612847608343,-0.000319997066012985,0.19006733696878,-5.51812741253693e-06,NA
"3","1",2,1274247.34913376,2.18892882953844,0.162355307102931,1.76963071002849,-0.0211905284615113,-0.0010924919930184,0.376300384724104,-3.95581985444992e-05,NA
"4","1",3,1274245.7948189,3.2052635628312,0.335864986030717,1.84794990781588,-0.0230901304174599,-0.00201714488509738,0.578591106064705,-0.000117307288315747,NA
"5","1",4,1274243.87512178,4.37084600318274,0.564719619296633,2.04003805389723,-0.0181155961739379,-0.00278429211755586,0.814556256507143,-0.000238649420783353,NA
"6","1",5,1274241.42934516,5.80453245683395,0.856866275225131,2.35515664678993,-0.00546298566115927,-0.00307956697789025,1.10245443361133,-0.000387877957256121,NA
"7","1",6,1274238.2699859,7.62821134784733,1.22778368128002,2.81497903744508,0.0159416586184248,-0.00257655348992015,1.4633785968414,-0.000533315632369838,NA
"8","1",7,1274234.16444614,9.98282385981701,1.70032896432431,3.4532893039655,0.0476123606157859,-0.000921709230498835,1.92323353025895,-0.000626362071401918,NA
"9","1",8,1274228.81574824,13.0424245322386,2.30566825541544,4.31741143387266,0.0916703624364426,0.00228679996460752,2.5148305901754,-0.000599633000476069,NA
"10","1",9,1274221.83986247,17.0287939055619,3.08510771733962,5.47107626492636,0.151034561197426,0.0075262809277151,3.28035446701157,-0.000363891780619556,NA
"11","1",10,1274212.73748858,22.2284654224386,4.09281630980222,6.99871151186385,0.229656714652027,0.0153836820159046,4.27443383346781,0.000196544980341577,0
"12","1",11,1274200.85796543,29.0138350828206,5.39956151937027,9.01134684190032,0.332822828498875,0.0265986164305146,5.56806724788228,0.00123032382531573,0
"13","1",12,1274185.35255834,37.8701128571143,7.09768385173472,11.6544922513648,0.467544972265595,0.0421179454739009,7.25370250709019,0.00292800079771872,0
"14","1",13,1274165.11377544,49.4301285808304,9.30763490847913,15.1185054735537,0.643072439392998,0.0631654971795912,9.45183326304589,0.00553406698164483,0
"15","1",14,1274138.69624779,64.5195958353525,12.1865428906469,19.6521852364003,0.871560487037921,0.0913318274810135,12.3195985009668,0.00936294789291604,0
"16","1",15,1274104.21350677,84.2160989684283,15.9394088655469,25.5805489237705,1.16894504916198,0.128690321470656,16.0620017241047,0.0148201274261909,0
"17","1",16,1274059.20354522,109.925874272903,20.8337016352982,33.3280147438266,1.55608414370048,0.177947575733027,20.9465250514569,0.0224298580072337,0
"18","1",17,1274000.45317548,143.484088095104,27.2184332635988,43.4487080372011,2.06025131124163,0.242639202605059,27.3222276251968,0.0328715256905029,0
"19","1",18,1273923.76813166,187.286048447543,35.5491346522522,56.666147648243,2.71709280591804,0.327385660450158,35.6447550589394,0.047027388558483,0
"20","1",19,1273890.32273551,183.759099148601,44.2254409316939,70.4360841116266,3.55315177712665,0.43798586207492,46.3182358510229,0.0660416547579123,0
"21","1",20,1273850.1401023,186.963882935009,51.7758804703845,82.4192056832636,4.53268763465702,0.579418711035286,59.1638013579476,0.0913412295704031,0
"22","1",21,1273803.90030024,195.070641138329,58.7603221297765,93.5050632072742,5.62145139944647,0.754393045798247,73.9801200229453,0.124543307944435,0
"23","1",22,1273751.89914475,206.92751618016,65.5602142386631,104.299655575318,6.80047952082751,0.964182882885752,90.6838578617428,0.167361156045515,0
"24","1",23,1273694.16770339,221.829850943991,72.4418205008291,115.225936860077,8.06093005131702,1.20933115075449,109.273212208988,0.221551054910812,0
"25","1",24,1273630.54913225,239.370154714109,79.597489205236,126.589408261591,9.40074975168795,1.49009455772386,129.804584282656,0.288887850744596,0
"26","1",25,1273560.74781773,259.339997601118,87.1728796256457,138.621389748157,10.822513801227,1.80672539491174,152.377693916058,0.371158199539595,1
"27","1",26,1273484.36006283,281.666329248775,95.2848999645351,151.50752833362,12.3320434524838,2.15964757139613,177.126323087364,0.470165085583555,0
"28","1",27,1273400.89257589,306.370352694125,104.033582068542,165.406669399317,13.9375341574846,2.54956558549822,204.212783134165,0.587739364560273,1
"29","1",28,1273309.7729599,333.540975581116,113.510062500538,180.463539537851,15.6490145313382,2.97753231912133,233.824828154602,0.725755578558676,0
"30","1",29,1273210.3546,363.318251400898,123.801920889822,196.817229202039,17.4780330733185,3.44499053531497,266.1742856033,0.886150553759994,1
"31","1",30,1273101.91800154,395.88288921807,134.996944381609,214.607173985062,19.4374845593363,3.95380058023165,301.496780187676,1.07094358846348,2
"32","1",31,1272983.66944329,431.450144386284,147.185781986541,233.977371699614,21.5415384659473,4.50625962425294,340.052289151234,1.28225784323429,3
"33","1",32,1272854.73770956,470.266568515707,160.463910444503,255.079505378431,23.8056356527145,5.10511742099405,382.12629830766,1.52234260192594,2
"34","1",33,1272714.17058454,512.607096009532,174.933257321568,278.075521681294,26.2465357008574,5.75359363844267,428.031533304564,1.79359742468367,1
"35","1",34,1272672.41824597,457.570902447357,186.912372299785,297.113709717436,28.8472135430283,6.4549701303548,477.774764966107,2.09858718721173,4
"36","1",35,1272628.5042834,414.452882435673,193.820623288771,308.09211305363,31.4731105679045,7.20857470706003,530.198854840427,2.4399684728939,2
"37","1",36,1272583.41565519,380.202946618227,197.061377359175,313.241334926248,34.0067388456985,8.00768584458999,584.180875572906,2.82020519658573,1
"38","1",37,1272537.86557664,352.570488141295,197.665958692165,314.200623406898,36.3727760871396,8.84192700600944,638.901579516989,3.24132328064166,3
