replicate,time,S,E,A,I1,I2,I3,R,D,obs
1,0,1028736,0,0,2,0,0,0,0,0
1,1,1028733.4199512873,2.338600041236732,0.03801090303756701,1.9310733139518506,-0.01357060169945386,-3.248959575046881e-4,0.19391040984680022,-5.568239523649392e-6,NA
1,2,1028730.5051710522,4.566231709874764,0.139643433508595,2.2182428591626473,-0.024108289666427904,-0.00116230969048763,0.4052765516719571,-4.100903430177014e-5,NA
1,3,1028726.646619924,7.254619041829835,0.3025352407356216,2.8450944050194957,-0.03202005128105773,-0.0023356592501727427,0.6743951497459455,-1.2737944546701378e-4,NA
1,4,1028721.1821806482,10.922286908011294,0.5409779364871885,3.880074841274849,-0.03763894493961301,-0.0037019549690901947,1.0449391606351053,-2.777758378667406e-4,NA
1,5,1028713.251573195,16.175505821990047,0.8844288167811915,5.4688845360173755,-0.04121297248882494,-0.0051449868157819436,1.5734176687267076,-4.988426605328206e-4,NA
1,6,1028701.6451272259,23.829819664705962,1.380146006974527,7.847746507441006,-0.042893416780080844,-0.00656866548275457,2.339036727029184,-7.91944421609668e-4,NA
1,7,1028684.6115392001,35.04721833842118,2.09939122459591,11.374738416670885,-0.04271758947712255,-0.00789035695067968,3.4562332110428837,-0.0011540057149606302,NA
1,8,1028659.5899265282,51.51762410313358,3.147671177283208,16.58156987077523,-0.04058137111285843,-0.009033852696807197,5.092143347116997,-0.001578010746210479,NA
1,9,1028622.8232672589,75.71574996679146,4.680326935946437,24.25243006055603,-0.036196076259777644,-0.009921427532519846,7.4918062191534425,-0.002053131401962163,NA
1,10,1028568.793858938,111.27374250486096,6.925703372697939,35.541200530216955,-0.02902217734929657,-0.010464198096765487,11.014980532653334,-0.002564419349357163,NA
1,11,1028489.3960582373,163.52596396964148,10.21930202109211,52.14425525761003,-0.01816923917211602,-0.010549666535953786,16.190118687421414,-0.0030919515259596386,NA
1,12,1028372.7221092539,240.30780635604006,15.054016890213665,76.55465394635567,-0.002246405358260625,-0.010024842221101707,23.793640595993757,-0.003609249389357453,NA
1,13,1028201.2820224533,353.12616261161025,22.1538675617091,112.43524868341751,0.020859232781382128,-0.008672645131334544,34.96628310425821,-0.004080699342471542,NA
1,14,1027949.3928263667,518.8750439333294,32.582238304747506,165.16641397062546,0.05431008656453444,-0.0061782160496240204,51.38401204291543,-0.004457556019537954,NA
1,15,1027579.3566927131,762.345113094875,47.900513909997876,242.64881569534927,0.10280013587320999,-0.002080265945492458,75.50881119009128,-0.004671913155206377,NA
1,16,1027035.8725620129,1119.8890165624807,70.40042109562552,356.47917475835595,0.1732635520815236,0.004299696820704431,110.95666994161436,-0.004627722794471851,NA
1,17,1026237.8879838475,1644.7567686419045,103.44361666555886,523.6687625292315,0.27591417232257515,0.013960658790718901,163.03690576130677,-0.004187515693568076,NA
1,18,1025066.7616761612,2414.8277105241777,151.95680566530095,769.1489686004232,0.4257675890534279,0.028373106753221144,239.5416800516287,-0.003152839389002173,NA
1,19,1024239.3182734364,2731.0906046516316,210.92609824129974,1067.5461777247929,0.6391769070222617,0.049633480046892386,349.457795152561,-0.0012361831252522056,NA
1,20,1023134.1251852704,3242.108308646633,275.04015017940026,1391.9815480959278,0.9188710767310655,0.08006248090790982,496.4057346108766,0.0019634037500022533,0
1,21,1021716.430854438,3944.426076714951,349.5083481653252,1768.8171868011345,1.2700191639869194,0.12188384654406409,685.1312585107031,0.0069598401265394206,0
1,22,1019929.5483759495,4855.061899446332,439.0920610369767,2222.1480221298943,1.704145146974258,0.17749489222372597,923.3651440943577,0.0143813838142318,0
1,23,1017695.7483162413,6007.026509927503,548.7138508088138,2776.8847524729645,2.238420255543124,0.2497180695096638,1221.7487402681475,0.024985848598984783,0
1,24,1014914.9788088343,7447.610648375869,683.896571045753,3460.9759290497486,2.8957240498832117,0.34201552366961885,1594.0712528927943,0.03968730912100538,0
1,25,1011462.062582854,9238.356451332,851.1210492409119,4307.218027982164,3.705240583058324,0.45869888821933436,2057.7444774533765,0.059593272481134066,0
1,26,1007182.7425473069,11456.075190648375,1058.153343087365,5354.911549537669,4.703474613169057,0.6051559477796784,2634.4843960116978,0.08605272686016079,0
1,27,1001888.8608758575,14194.457248900546,1314.3718087037198,6651.516166276901,5.935628379499966,0.7881106335880271,3351.1896100724666,0.120716304780847,0
1,28,995352.9361951245,17565.93519625113,1631.1051666421345,8254.361526704359,7.457320611994589,1.0159283088476996,4241.021455064824,0.1656105266198571,1
1,29,987302.5229076737,21703.401088504703,2021.9827795509475,10232.419857246825,9.336631358897622,1.2989771010615687,5344.6911796984605,0.2232285208454314,0
1,30,977414.9315044858,26761.26783170532,2503.2835837068783,12668.071752397282,11.656462966047464,1.6500556584506938,6711.963846133524,0.2966407185890563,0
1,31,965313.2351722479,32915.1607925477,3094.252420027675,15658.706987941187,14.517158417410165,2.084892809574162,8403.363214327304,0.3896284507067836,0
1,32,950564.9451730528,40359.219121824986,3817.3309409494586,19317.89303963285,18.039283286943277,2.6227229198955087,10492.047777652415,0.5068445877588976,1
1,33,932685.340391909,49299.636988184604,4698.219516001595,23775.688359179363,22.36638010839117,3.2869328580589388,13065.780053748771,0.6540047774747864,0
1,34,911148.0185342726,59942.77868435461,5765.652684104944,29177.506033567697,27.66738950258684,4.105765482763315,16228.853675022405,0.8381123216092754,1
1,35,885405.9465605619,72475.87991359175,7050.725944452179,35680.70696206083,34.138262166897356,5.1130500055475885,20103.75907755291,1.0677192444856114,2
