t,IH,X
268,412.9373293,0.05
269,406.1316335,0.05
270,399.4115054,0.05
271,392.7763411,0.05
272,386.2263329,0.05
273,379.7612847,0.05
274,373.3811007,0.05
275,367.0861154,0.05
276,360.8759102,0.05
277,354.7493586,0.05
278,348.7062066,0.05
279,342.7459224,0.05
280,336.8682933,0.05
281,331.0732839,0.05
282,325.3609342,0.05
283,319.7308785,0.05
284,314.1820259,0.05
285,308.7139904,0.05
286,303.3258635,0.05
287,298.0170852,0.05
288,292.7871273,0.05
289,287.8817336,0.05
290,282.9796281,0.05
291,277.9730524,0.05
292,273.0416006,0.05
293,268.1851543,0.05
294,263.4030185,0.05
295,258.6953351,0.05
296,254.0623309,0.05
297,249.5006735,0.05
298,245.3994917,0.05
299,241.3215057,0.05
300,237.1401638,0.05
301,232.8478278,0.05
302,228.6281367,0.05
303,224.479605,0.05
304,220.4005384,0.05
305,216.3895548,0.05
306,212.4453634,0.05
307,208.566723,0.05
308,204.7525285,0.05
309,201.0019087,0.05
310,197.3954962,0.05
311,193.8348514,0.05
312,190.4114646,0.05
313,186.8970321,0.05
314,183.4410888,0.05
315,180.043257,0.05
316,176.7030238,0.05
317,173.4188465,0.05
318,170.1896559,0.05
319,167.015058,0.05
320,163.8946543,0.05
321,160.8284549,0.05
322,157.816251,0.05
323,154.8573296,0.05
324,151.9500262,0.05
325,149.0936435,0.05
326,146.2872615,0.05
327,143.5301701,0.05
328,140.8217558,0.05
329,138.1614375,0.05
330,135.5484005,0.05
331,132.9812033,0.05
332,130.4593498,0.05
333,127.9821453,0.05
334,125.5489235,0.05
335,123.1593755,0.05
336,120.8129725,0.05
337,118.5085854,0.05
338,116.2452945,0.05
339,114.0225727,0.05
340,111.8398888,0.05
341,109.6966843,0.05
342,107.5926424,0.05
343,105.5273294,0.05
344,103.4993621,0.05
345,101.5082563,0.05
346,99.55340877,0.05
347,97.73325941,0.05
348,95.96884888,0.05
349,94.34581294,0.05
350,93.0886944,0.05
351,92.37632684,0.05
352,92.40709369,0.05
353,93.32710815,0.05
354,95.43844189,0.05
355,98.95716942,0.05
356,104.1551031,0.05
357,111.2206559,0.05
358,120.1016002,0.05
359,130.5489163,0.05
360,142.218737,0.05
361,154.7393269,0.05
362,167.7417608,0.05
363,180.8916136,0.3
364,193.8949862,0.3
365,206.5073905,0.3
