replicate,time,S,E,A,I1,I2,I3,R,D,obs
1,0,1028736,0,0,2,0,0,0,0,0
1,1,1028734.4045468516,1.4455267168425923,0.07593531548472467,1.8058149790044924,-0.012738946794267568,-3.1495284984487526e-4,0.19093788027822037,-5.4666818559361565e-6,NA
1,2,1028732.6786014693,2.7521235055183926,0.27526631967019916,1.754800234825808,-0.018121217400667227,-0.001019674840114639,0.3830562677210166,-3.805256994521009e-5,NA
1,3,1028730.5253394489,4.213457244702496,0.5837737061028512,1.8299318286446924,-0.013396913954455006,-0.0016778231541788842,0.6017028223692077,-1.0669694988874955e-4,NA
1,4,1028727.649993567,6.069082749026598,1.0148225624842466,2.039142699351667,0.0039973569144671935,-0.001777739255705464,0.872131892300019,-1.965725575326495e-4,NA
1,5,1028723.7020521152,8.566446945722173,1.6037476380944053,2.410285243040009,0.03721836478176907,-7.291616663419028e-4,1.2241351186983098,-2.6538983427840313e-4,NA
1,6,1028718.223207927,12.006645120563958,2.4081543562451713,2.9913311313100306,0.09065344875085225,0.0021710385311910522,1.6962663872419528,-2.3872164678129454e-4,NA
1,7,1028710.5893002896,16.787483194551466,3.5124878619358073,3.854351121527507,0.17058461808057707,0.0077988211153877055,2.3405926466205846,-2.967292389104018e-6,NA
1,8,1028699.9367049104,23.452966449201988,5.036533143219817,5.1029759866031705,0.28600489662301937,0.017290406878473417,3.2287374369885993,6.053508557765739e-4,0
1,9,1028685.0633650993,32.756964956537985,7.148361190285368,6.883792613632115,0.44970517267521837,0.03216413277260917,4.460014244025254,0.0018154816261410655,0
1,10,1028664.2925591925,45.74932077262214,10.082953643529883,9.402763448472513,0.6797678219862492,0.05448874157938561,6.172624039019932,0.003945528581753084,0
1,11,1028635.2836173668,63.89468994501141,14.16849407809832,12.94842532933131,1.0016436958235642,0.0871160603261466,8.559213474184913,0.007435477391278717,0
1,12,1028594.7682846076,89.23764434984213,19.863201425033925,17.924407921158515,1.4510487303788429,0.1340033770788766,11.888546690618604,0.012893955722463608,0
1,13,1028538.1826059212,124.63296114286108,27.806874327729233,24.89495487422144,2.0780135147902103,0.20066185309862625,16.53577332210254,0.021164143239346175,0
1,14,1028459.1539409643,174.0663725319984,38.89278904050339,34.64843314374321,2.95253301147637,0.29478003099648575,23.0246280319166,0.03341614191955014,0
1,15,1028348.7848592036,243.10213428659728,54.36812616834022,48.28605399938149,4.172462362964711,0.4270934584363204,32.08638201582171,0.05127641379660303,0
1,16,1028194.6547883732,339.5067257159401,75.97405687409422,67.34564065612315,5.874539024760266,0.6125973184550396,44.742117651789655,0.07700877758324004,0
1,17,1027979.4294078491,474.1171046825741,106.14100512435999,93.97415307120156,8.249760087415876,0.8722375062805295,62.41750355588326,0.11376725586247954,1
1,18,1027678.9225795156,662.049727703915,148.26107699523047,131.1684015254496,11.564861761139877,1.2352729904432276,87.10312246233622,0.16594971243345966,0
1,19,1027641.7374122572,575.880104786351,189.90305288986312,167.94335062042975,16.006587899475825,1.7403891793823105,120.4988535606685,0.23966826213071696,0
1,20,1027596.9020054688,512.2226885506492,218.7681012090223,193.43100871102533,21.176956031828517,2.4173448502351564,160.92984947606524,0.3428666126969966,0
1,21,1027546.7699476329,464.8750200512678,238.4250529251948,210.78453219784114,26.66776331714771,3.27282079943542,206.3984109688101,0.4843870022976232,0
1,22,1027493.0387001139,429.35050609252454,251.45344836581705,222.2829604888463,32.20244216390694,4.297562772603259,255.450549977836,0.6729748499519427,1
1,23,1027436.9314693006,402.40333598489724,259.71753066790376,229.5733178714849,37.59797782136643,5.472940777578115,307.0261276619209,0.9166560918356671,0
1,24,1027379.3285472387,381.68538279771974,264.56411386574644,233.8454497663357,42.737547458367715,6.775410992075213,360.3505995364906,1.2223878444851386,2
1,25,1027320.8626868749,365.49703274024796,266.96627992624485,235.95899266603692,47.55077702142317,8.17951625056024,414.85636703588693,1.5958911128247557,1
1,26,1027261.9875581282,352.6083141564529,267.6265332682977,236.53452022736417,51.99968868972044,9.659820578647194,470.12628643238304,2.04160868677099,3
1,27,1027203.0275412567,342.12876283106584,267.05184912921777,236.01985453121586,56.06858240376972,11.192132635473067,525.8525381779257,2.5627388014431705,2
1,28,1027144.213667949,333.41346235715145,265.6078595404271,234.737943229803,59.75682903877198,12.754222121767363,581.8068981684003,3.161316908703272,3
1,29,1027085.7095833292,325.9951460539019,263.5580090528831,232.9214559566909,63.073752797434715,14.326191071640698,637.81922401826,3.838324279024021,0
1,30,1027027.6303232542,319.5350641303366,261.09188772505274,230.73781782024045,66.03501010850036,15.890614901771235,693.7618573373028,4.593808884990616,5
1,31,1026970.055878429,313.78746843308176,258.3457098559738,228.30730296589823,68.66004762460906,17.432531786894724,749.5383202348019,5.427009334201554,7
1,32,1026913.0410074352,308.573897157711,255.41714003704004,225.7161335380002,70.97033027918712,18.93933711834175,805.0751033077104,6.336475618550068,5
1,33,1026856.6223083612,303.7646230996404,252.37598697684263,223.02592752170975,72.98812658481188,20.400620398423566,860.3157145845115,7.320183132649705,8
1,34,1026800.8233731252,299.26511355604777,249.27200617516039,220.2805920809608,74.73567801054699,21.807973607187343,915.2163115129616,8.375637644637353,10
1,35,1026745.6584265502,295.00645201010076,246.14041700041665,217.51119745823894,76.23466799249098,23.154784634736366,969.7425853960036,9.499970362018813,10
1,36,1026691.1350252344,290.93821970698224,243.0060004975386,214.7395969154232,77.5058707228407,24.4360335780892,1023.8674249982394,10.690022437540554,10
