t,IH,X
268,164.147647,0.05
269,160.1630405,0.05
270,156.2686522,0.05
271,152.4627179,0.05
272,148.7430268,0.05
273,145.1078464,0.05
274,141.5553696,0.05
275,138.0836716,0.05
276,134.690791,0.05
277,131.3772719,0.05
278,128.1410193,0.05
279,124.979767,0.05
280,121.8921173,0.05
281,118.8762132,0.05
282,115.9296371,0.05
283,113.0509694,0.05
284,110.2393957,0.05
285,107.4937366,0.05
286,104.8125523,0.05
287,102.1946784,0.05
288,99.63884216,0.05
289,97.26386504,0.05
290,94.94727653,0.05
291,92.73047521,0.05
292,90.82360833,0.05
293,89.37168795,0.05
294,88.52595142,0.3
295,88.44155454,0.3
296,89.27958215,0.3
297,91.21067753,0.3
298,94.07948422,0.3
299,98.20433427,0.3
300,103.9841281,0.3
301,111.8002225,0.3
302,121.4244263,0.3
303,132.6181827,0.3
304,145.0372698,0.3
305,158.2867164,0.3
306,171.9751565,0.3
307,185.7424071,0.3
308,199.2724421,0.05
309,212.2980224,0.05
310,224.3384303,0.05
311,235.5790322,0.05
312,245.6402976,0.05
313,255.0924656,0.05
314,263.4328597,0.05
315,270.6410806,0.05
316,276.7267809,0.05
317,281.714931,0.05
318,285.6459274,0.05
319,288.5715595,0.05
320,290.5469087,0.05
321,291.6369154,0.05
322,291.9048432,0.05
323,291.4178023,0.05
324,290.2454112,0.05
325,288.4512005,0.05
326,286.1003881,0.05
327,283.2526703,0.05
328,279.9655142,0.05
329,276.2932132,0.05
330,272.2856468,0.05
331,267.9914924,0.05
332,263.4529896,0.05
333,258.7096159,0.05
334,253.7979138,0.05
335,248.7501476,0.05
336,243.5959848,0.05
337,238.3632447,0.05
338,233.0763185,0.05
339,227.7563755,0.05
340,222.4225097,0.05
341,217.0918274,0.05
342,211.779059,0.05
343,206.4972845,0.05
344,201.2592932,0.05
345,196.0749959,0.05
346,190.9525999,0.05
347,186.1466773,0.05
348,181.3332056,0.05
349,176.4276014,0.05
350,171.6070766,0.05
351,166.8749965,0.05
352,162.2364314,0.05
353,157.8871298,0.05
354,153.428467,0.05
355,149.0735516,0.05
356,144.813572,0.05
357,140.648385,0.05
358,136.5796431,0.05
359,132.6070667,0.05
360,128.7305057,0.05
361,124.9500595,0.05
362,121.2646786,0.05
363,117.6733786,0.05
364,114.1770157,0.05
365,110.7743166,0.05
