t,IH,X
269,194.4396667,0.05
270,189.9250093,0.05
271,185.5051231,0.05
272,181.1788322,0.05
273,176.9447269,0.05
274,172.800963,0.05
275,168.746556,0.05
276,164.7800957,0.05
277,160.8992122,0.05
278,157.1026381,0.05
279,153.3887586,0.05
280,149.7564589,0.05
281,146.2039177,0.05
282,142.73046,0.05
283,139.3349455,0.05
284,136.0153903,0.05
285,132.7705309,0.05
286,129.5986328,0.05
287,126.4982728,0.05
288,123.4680601,0.05
289,120.6477734,0.05
290,117.850386,0.05
291,115.0152489,0.05
292,112.244435,0.05
293,109.5367616,0.05
294,106.8908396,0.05
295,104.3059831,0.05
296,101.781661,0.05
297,99.31442358,0.05
298,97.10576994,0.05
299,94.93669672,0.05
300,92.82367281,0.05
301,90.93213722,0.05
302,89.52073886,0.05
303,88.74380131,0.05
304,88.75818052,0.05
305,89.73183284,0.3
306,91.83708811,0.3
307,95.26363271,0.3
308,100.2101295,0.3
309,106.896634,0.3
310,115.1916702,0.3
311,125.1087782,0.3
312,136.0661048,0.3
313,148.4778608,0.3
314,161.5069677,0.3
315,174.7884141,0.3
316,187.9949235,0.3
317,200.8453056,0.3
318,213.1099257,0.05
319,224.6111248,0.05
320,235.2124539,0.05
321,244.8249505,0.05
322,253.3899255,0.05
323,260.8795005,0.05
324,267.2916219,0.05
325,272.6397323,0.05
326,276.9592347,0.05
327,280.2918227,0.05
328,282.6894434,0.05
329,284.212351,0.05
330,284.9194719,0.05
331,284.8761762,0.05
332,284.1450429,0.05
333,282.7887592,0.05
334,280.8697195,0.05
335,278.4451916,0.05
336,275.5731084,0.05
337,272.3049037,0.05
338,268.6897878,0.05
339,264.7747988,0.05
340,260.6017734,0.05
341,256.2106453,0.05
342,251.6372465,0.05
343,246.9146701,0.05
344,242.0722817,0.05
345,237.1368829,0.05
346,232.1331336,0.05
347,227.3326014,0.05
348,222.4291863,0.05
349,217.3423336,0.05
350,212.2612258,0.05
351,207.1960111,0.05
352,202.1619053,0.05
353,197.3835608,0.05
354,192.4305805,0.05
355,187.54293,0.05
356,182.7204995,0.05
357,177.9682958,0.05
358,173.2910823,0.05
359,168.693183,0.05
360,164.1779765,0.05
361,159.7484845,0.05
362,155.4066339,0.05
363,151.154729,0.05
364,146.9931706,0.05
365,142.9226373,0.05
366,138.9439567,0.05
367,135.0569792,0.05
368,131.2616293,0.05
369,127.6324749,0.05
370,124.2774031,0.05
371,121.0350661,0.05
372,117.6928608,0.05
373,114.3260806,0.05
374,111.0457588,0.05
375,107.8507694,0.05
376,104.7404595,0.05
377,101.8449844,0.05
378,99.25721307,0.05
379,96.54116923,0.05
380,93.9163549,0.05
381,91.40374138,0.05
382,89.15678232,0.05
383,87.24122033,0.05
384,85.9077368,0.05
385,85.274176,0.05
386,85.46671508,0.05
387,86.61584732,0.05
388,88.85285879,0.05
389,92.32328679,0.05
390,97.18875478,0.05
391,103.612702,0.05
392,111.7406355,0.05
393,121.0572792,0.05
394,132.1289558,0.05
395,144.2315991,0.05
396,156.9818057,0.05
397,170.0106751,0.05
398,182.9785768,0.05
399,195.5946047,0.05
400,207.6165479,0.05
401,218.8566834,0.3
402,229.1699818,0.3
403,238.459276,0.3
404,246.6634737,0.3
405,253.7490727,0.3
406,259.718182,0.3
407,264.5852271,0.3
408,268.385769,0.3
409,271.1674394,0.3
410,272.9841892,0.3
411,273.9015079,0.3
412,273.9830724,0.3
413,273.2983583,0.3
414,271.9165013,0.3
415,269.9033625,0.3
416,267.3270083,0.05
417,264.2494208,0.05
418,260.7305217,0.05
419,256.8272678,0.05
420,252.5917207,0.05
421,248.0740601,0.05
422,243.3187947,0.05
423,238.3679428,0.05
424,233.2596162,0.05
425,228.0275102,0.05
426,222.7032965,0.05
427,217.3147812,0.05
428,211.8870945,0.05
429,206.442592,0.05
430,201.0013373,0.05
431,195.5805361,0.05
432,190.1954214,0.05
433,184.8595004,0.05
434,179.5842842,0.05
435,174.3799238,0.05
436,169.2547226,0.05
437,164.2162084,0.05
438,159.2700329,0.05
439,154.5387875,0.05
440,150.2858019,0.05
441,146.0124213,0.05
442,141.6189597,0.05
443,137.1642314,0.05
444,133.2636781,0.05
445,129.7264646,0.05
446,126.0633689,0.05
447,122.3432476,0.05
448,118.7583697,0.05
449,115.1589382,0.05
450,111.496087,0.05
451,107.9889964,0.05
452,104.8807705,0.05
453,101.7634821,0.05
454,98.75996647,0.05
455,95.73932446,0.05
456,92.90207976,0.05
457,90.16759753,0.05
458,87.52873912,0.05
459,86.31426616,0.05
460,86.15225672,0.05
461,84.32675857,0.05
462,82.91588542,0.05
463,82.09275529,0.05
464,81.96039622,0.05
465,82.56592188,0.05
466,83.97713848,0.05
467,86.41069034,0.05
468,89.62511436,0.05
469,93.53741845,0.05
470,98.37688625,0.05
471,104.8589652,0.05
472,113.434746,0.05
473,123.4436302,0.05
474,134.1276285,0.05
475,146.0761642,0.05
476,158.4798306,0.05
477,170.987314,0.05
478,183.2842783,0.05
479,195.1017895,0.05
480,206.2238105,0.05
481,216.4821156,0.05
482,225.7522128,0.05
483,233.9558671,0.05
484,241.044616,0.05
485,246.7070803,0.05
486,251.002227,0.05
487,254.7598417,0.05
488,257.7190553,0.05
489,259.6706112,0.05
490,260.6756902,0.3
491,260.7998817,0.3
492,260.1154242,0.3
493,258.6913122,0.3
494,256.6007675,0.3
495,253.9130409,0.3
496,250.6946849,0.3
497,247.0118636,0.3
498,242.9243913,0.3
499,238.4904465,0.3
500,233.763109,0.3
501,228.791521,0.3
502,223.621348,0.3
503,218.2932784,0.3
504,212.8452612,0.3
505,207.3110384,0.3
506,201.7208686,0.3
507,196.1020649,0.05
508,190.4787689,0.05
509,184.8719761,0.05
510,179.3003975,0.05
511,173.7804762,0.05
512,168.3260787,0.05
513,162.9494619,0.05
514,157.6608704,0.05
515,152.4689358,0.05
516,147.3809169,0.05
517,143.4260178,0.05
518,139.4991493,0.05
519,135.655125,0.05
520,131.8106682,0.05
521,127.7901124,0.05
522,123.7000426,0.05
523,123.5903202,0.05
524,122.9261365,0.05
525,121.1239429,0.05
526,119.1691319,0.05
527,119.0101115,0.05
528,117.0268431,0.05
529,113.5916604,0.05
530,110.2436339,0.05
531,106.9380965,0.05
532,103.8608555,0.05
533,100.8124474,0.05
534,97.42555223,0.05
535,96.63340005,0.05
536,96.15044665,0.05
537,94.87307437,0.05
538,93.10859688,0.05
539,93.00125911,0.05
540,92.93417756,0.05
