"","replicate","time","S","E","A","I1","I2","I3","R","D","obs"
"1","1",0,7150000,0,0,2,0,0,0,0,0
"2","1",1,7149998.03356151,1.78286335361822,0.122482919730004,1.7913926871856,-0.0120798018525661,-0.000307098975313865,0.192041125452097,-5.386592202878e-06,NA
"3","1",2,7149995.75477688,3.53378437863084,0.453579550557947,1.70663835932412,-0.013234229732837,-0.000904753865795492,0.391863226427078,-3.56887046317863e-05,NA
"4","1",3,7149992.63332118,5.73926413362542,0.995367469694867,1.74217113514041,0.0025408665318642,-0.00113039979160138,0.633079832376663,-8.97760500099382e-05,NA
"5","1",4,7149988.06091876,8.87048097022739,1.81049508302893,1.92105738961671,0.0419502050063325,-0.00010437944678583,0.954230361534779,-0.000128014444425313,NA
"6","1",5,7149981.2079264,13.5160411112002,3.0214286688012,2.29259583027346,0.114395735542437,0.00332787544076997,1.40738744857,-6.03348621685998e-05,NA
"7","1",6,7149970.86063641,20.5087380060243,4.82627971849555,2.93905819385842,0.234081338335047,0.0107389066920037,2.06805548229847,0.000270733224172057,0
"8","1",7,7149955.20050738,31.0825650284469,7.53076416227694,3.98937641988672,0.422775787153691,0.0243571912223246,3.04867792193279,0.00111646021226846,0
"9","1",8,7149931.48179885,47.0940952951796,11.6003776292104,5.64153164692492,0.713805135306568,0.047433588002612,4.51839303269788,0.00286323391905703,0
"10","1",9,7149895.54873617,71.3501968593207,17.7412346539376,8.19727724237121,1.15801785771818,0.08479608913042,6.7326337556945,0.00609660911925458,0
"11","1",10,7149841.10684718,108.100758223175,27.0233409945374,12.1151167043384,1.83278549694233,0.143686998024799,10.0777985330771,0.0116996512433559,0
"12","1",11,7149758.6201422,163.783528696971,41.0677735798975,18.0907712469127,2.8556292973887,0.235027724617925,15.138859084782,0.0210031085114696,0
"13","1",12,7149633.64117002,248.151549568555,62.3304077700193,27.1791737614284,4.40486183972391,0.375331156690549,22.8017395942325,0.0360138755951038,0
"14","1",13,7149444.28143818,375.980674324397,94.5318611676862,40.9793498306789,6.75086500968485,0.589595977257105,34.4084163663707,0.0597619514761303,0
"15","1",14,7149157.38036529,569.655324365006,143.308779467048,61.9144945127179,10.303477234788,0.915688666804192,51.9918691342037,0.0968267184871817,0
"16","1",15,7148722.70385464,863.083664922861,217.200295224149,93.6561996954517,15.6837837400682,1.41097990287108,78.6320029677519,0.154134797013366,0
"17","1",16,7148064.16167406,1307.62365434535,329.14182396625,141.766874369375,23.8328617638937,2.16239619380539,118.994777535402,0.242169215249303,0
"18","1",17,7147066.51783204,1981.04785669512,498.726390911523,214.672258765599,36.1764714044952,3.30164410222146,180.148719742906,0.376801547063488,1
"19","1",18,7145555.30163776,3001.08649828519,755.626699893645,325.133140522391,54.8744405213949,5.02826978656594,272.801416709547,0.582067920542498,1
"20","1",19,7145553.67607009,2458.56215844593,1011.15657939046,435.007801107897,81.6142521781345,7.62610033921696,406.830177252564,0.894187038161645,1
"21","1",20,7145551.6757072,2014.71783962651,1169.3070649482,503.005271979295,113.231162579162,11.3159056587089,572.901607841883,1.3629898320245,2
"22","1",21,7145549.45311461,1651.52828151019,1254.43491941113,539.600302383011,146.339041967084,16.1322637165124,759.233806233677,2.04462472001053,3
"23","1",22,7145547.12221795,1354.27051463422,1285.59032202789,552.985487111045,178.598550992482,21.9782209792035,956.878941516649,2.99341801277715,4
"24","1",23,7145544.76676431,1110.91760733157,1277.59929385812,549.536778851846,208.461281998802,28.6791165234935,1159.12099804423,4.25671590216511,2
"25","1",24,7145542.44705157,911.643944120482,1241.93313768552,534.187402713712,234.969895241792,36.0210144256723,1360.99467536155,5.87201785504845,4
"26","1",25,7145540.20526981,748.421321920219,1187.40623321179,510.727952233549,257.602634225279,43.7775063407851,1558.9015944488,7.86572259643591,9
"27","1",26,7145538.06972703,614.689316137563,1120.73497988861,482.046769783416,276.153105727039,51.7277489415839,1750.30493765573,10.2529871566048,7
"28","1",27,7145536.05818213,505.086224364497,1046.98484256839,450.322203904867,290.637908320509,59.6680021865933,1933.48704335042,13.0383169813947,15
"29","1",28,7145534.1804655,415.229368530674,969.927398932448,417.176161582591,301.226164487737,67.4184160247399,2107.35741595725,16.2166067412759,23
"30","1",29,7145532.44052728,341.535926134072,892.324486046316,383.796308453049,308.186373337437,74.8263640256099,2271.3013874262,19.7744337971295,19
"31","1",30,7145530.83803854,281.076295605361,816.154795815789,351.033518366554,311.846525852982,81.7674265623312,2425.06068921625,23.6914463924688,20
"32","1",31,7145529.36962655,231.45468844332,742.792959574212,319.478890262037,312.564892589741,88.1446740640733,2568.64024570824,27.9417653238582,18
"33","1",32,7145528.02982745,190.711484586857,673.151436165777,289.524768208999,310.70883166018,93.8869112150948,2702.23534814171,32.4953175758442,35
"34","1",33,7145526.81173002,157.2436912652,607.792399571541,261.41285939236,306.639812099474,98.9462665880394,2826.17505090791,37.319067928754,36
"35","1",34,7145504.63458684,148.807797019786,548.352218978053,235.846858626791,300.719968174255,103.295695826974,2940.94581652814,42.378105723587,38
"36","1",35,7145484.50021479,140.053114486516,495.552029714128,213.136853905389,293.338762069957,106.927895525573,3047.30527755591,47.6366730411308,56
"37","1",36,7145466.19013634,131.235022778455,448.500623752901,192.899519633847,284.837959191748,109.852996487517,3145.98702319111,53.0591006306471,41
"38","1",37,7145449.51454791,122.536641963163,406.451616385658,174.813820094839,275.501462867054,112.094293095748,3237.63655510728,58.6105690420396,59
"39","1",38,7145434.30768105,114.086179617979,368.776193784221,158.609288245861,265.564873080307,113.684582351382,3322.82587389806,64.2576748097358,61
"40","1",39,7145420.42404682,105.970283090679,334.941504841319,144.056732050369,255.223346369072,114.663256254164,3402.06514477781,69.9688303498364,86
"41","1",40,7145407.73536709,98.2443557937942,304.493396281406,130.960808802978,244.63811074714,115.073992184334,3475.81211191018,75.7145346102356,79
"42","1",41,7145396.12808854,90.9403645826918,277.042788725999,119.154165397493,233.941817533259,114.962960771158,3544.47962166751,81.4675346708949,86
"43","1",42,7145385.5012586,84.0731681864405,252.254261957574,108.492528760322,223.243146101648,114.377364290328,3608.44199366262,87.2029214093702,73
